Product URL,Product Name,Product Price,Ratings,Number Of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PN8L4,"Amazon Brand - Presto! Oxo-Biodegradable Garbage Bags, Medium -(19 x 21 inches) - 30 bags/roll (Pack of 6, Black)",289,4.4 out of 5 stars,"35,896",Not available,Not available,Not available,Not available
https://www.amazon.in/Impulse-Belux-Backpack-Resistant-Black/dp/B0CJHL12N9,Impulse Belux 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,510,5.0 out of 5 stars,11,Not available,Not available,Not available,Not available
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F,Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Navy-Tan),709,4.4 out of 5 stars,"6,797",Not available,Not available,Not available,Not available
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",229,4.1 out of 5 stars,"10,270",Not available,Not available,Not available,Not available
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",639,4.1 out of 5 stars,"6,653",Not available,Not available,Not available,Not available
https://www.amazon.in/Lipton-Honey-Lemon-Green-Pieces/dp/B01HMQ4HLW,"Lipton Honey Lemon Green Tea Bags 100 pcs, All Natural Flavour, Zero Calories - Improves Metabolism & Reduces Waist",518,4.4 out of 5 stars,Green,"Brand   Lipton     Item Form   Teabags     Flavour   Honey, Lemon     Tea Variety   Green     Net Quantity   100 count     Diet Type   Vegetarian     Number of Items   1     Package Information   Bag     Caffeine Content   medium caffeine     Item Weight   160 Grams",Not available,"It’s not just a cup of tea, its therapy - One Sip at a Time. Lipton Green Tea is not just a regular cup of chai, we believe it’s therapy for your body. Wake up to a morning cup of hot Lipton green tea and feel how it leaves you feeling light and active. Awaken your senses - one sip at a time. Lipton Green Tea Bags in Honey Lemon Flavor have this goodness. Choose Lipton Green Tea Honey Lemon as your go-to beverage during the day. Buy Lipton Green Tea Bags in Honey Lemon Flavor in a pack of 100's TB right here! Magic of Green Tea: Green tea is produced when freshly plucked leaves are heated, rolled/cut and then dried. The catechins in the fresh leaves are preserved during the green tea process, making green tea rich in catechins. Also, green tea is typically drunk without milk and sugar and hence gives zero calories as compared to the ordinary chai made with milk and sugar. Available in a Range of Flavors: Lipton offers a range of different flavours to ensure that you are offered variety and enjoyment while drinking tea. Lipton flavours some of its teas with added natural flavours and no artificial flavours are used. You may try Lipton Green tea in Pure & Light (unflavored), Tulsi Natura, Honey & Lemon and Lemon Zest flavors as well, available in pack sizes of 10s and 25s Tea bags. Next best to Water: Brewed, Unsweetened Lipton Green Tea being 99.5% water is a great way to meet your daily required fluid intake. Staying hydrated is essential to ensure bodily functions are carried out efficiently.",Not available
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,"1,399",4.3 out of 5 stars,"1,342",Not available,Not available,Not available,Not available
https://www.amazon.in/POLE-STAR-Polyester-Backpack-Compartment/dp/B07D6NXR2Q,"POLESTAR Amaze 15.6 inch 30 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",549,4.0 out of 5 stars,"6,169",Not available,Not available,Not available,Not available
https://www.amazon.in/Genie-Ltrs-School-Backpack-CAMELLIA17SBPIN/dp/B07QHMKHWH,"Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",799,4.2 out of 5 stars,"3,735",Not available,Not available,Not available,Not available
https://www.amazon.in/HP-15-6-inch-Backpacks-Pass-Through-793A6AA/dp/B0BYDXVM5Q,HP 320 15.6-inch Backpacks/Trolley Pass-Through; Padded Back Panel; Padded air mesh Panel/Hand wash and air Dry/Padded Laptop Pocket/1 Year Limited Warranty (793A6AA),599,4.0 out of 5 stars,60,Not available,Not available,Not available,Not available
https://www.amazon.in/TRUE-EMPEROR-charging-college-CAPTAIN/dp/B0C6HZDWRQ,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",529,3.7 out of 5 stars,39,Not available,Not available,Not available,Not available
https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"1,299",4.5 out of 5 stars,"4,528",Not available,Not available,Not available,Not available
https://www.amazon.in/Storite-Pack-Big-Underbed-Moisture/dp/B07B8K3RQK,"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag For Clothes (54 x 46 x 28 cm) - Black, Rectangular",699,4.4 out of 5 stars,"18,117",Not available,Not available,Not available,Not available
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,399,3.9 out of 5 stars,"1,397",Not available,Not available,Not available,Not available
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",739,4.1 out of 5 stars,"6,653",Not available,Not available,Not available,Not available
https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM,ADISA 31 Ltrs Casual Backpack School College Bag Pack,349,3.9 out of 5 stars,351,Not available,Not available,Not available,Not available
